"Category","Math Question","multipulChoiceOptions","Answer","Tip to Solve","mathEquation","multipulChoice","questionType"
"calculateInteger","99 × 1001","","99099","1001 is close to 1000. Calculate 99 × 1000 = 99,000, then add 99 × 1 = 99. Answer: 99,099.","99×1001","false","formula"
"calculateMoney","2 × €9.50","","€19","€9.50 is close to €10. Calculate 2 × €10 = €20, then subtract 2 × €0.50 = €1. Answer: €19.","2×9.50","false","units"
"calculateMoney","3 × €19.50","","€58.50","€19.50 is close to €20. Calculate 3 × €20 = €60, then subtract 3 × €0.50 = €1.50. Answer: €58.50.","3×19.50","false","units"
"calculateMoney","2 × €39.90","","€79.80","€39.90 is close to €40. Calculate 2 × €40 = €80, then subtract 2 × €0.10 = €0.20. Answer: €79.80.","2×39.90","false","units"
"calculateMoney","4 × €19.50","","€78","€19.50 is close to €20. Calculate 4 × €20 = €80, then subtract 4 × €0.50 = €2. Answer: €78.","4×19.50","false","units"
"calculateMoney","5 × €19.90","","€99.50","€19.90 is close to €20. Calculate 5 × €20 = €100, then subtract 5 × €0.10 = €0.50. Answer: €99.50.","5×19.90","false","units"
"calculateMoney","3 × €49.50","","€148.50","€49.50 is close to €50. Calculate 3 × €50 = €150, then subtract 3 × €0.50 = €1.50. Answer: €148.50.","3×49.50","false","units"
"calculateMoney","4 × €29.90","","€119.60","€29.90 is close to €30. Calculate 4 × €30 = €120, then subtract 4 × €0.10 = €0.40. Answer: €119.60.","4×29.90","false","units"
"calculateMoney","3 × €39.90","","€119.70","€39.90 is close to €40. Calculate 3 × €40 = €120, then subtract 3 × €0.10 = €0.30. Answer: €119.70.","3×39.90","false","units"
"calculateMoney","6 × €29.50","","€177","€29.50 is close to €30. Calculate 6 × €30 = €180, then subtract 6 × €0.50 = €3. Answer: €177.","6×29.50","false","units"
"calculateMoney","4 × €49.50","","€198","€49.50 is close to €50. Calculate 4 × €50 = €200, then subtract 4 × €0.50 = €2. Answer: €198.","4×49.50","false","units"
"calculateMoney","2 × €69.90","","€139.80","€69.90 is close to €70. Calculate 2 × €70 = €140, then subtract 2 × €0.10 = €0.20. Answer: €139.80.","2×69.90","false","units"
"calculateMoney","3 × €79.50","","€238.50","€79.50 is close to €80. Calculate 3 × €80 = €240, then subtract 3 × €0.50 = €1.50. Answer: €238.50.","3×79.50","false","units"
"calculateMoney","3 × €59.90","","€179.70","€59.90 is close to €60. Calculate 3 × €60 = €180, then subtract 3 × €0.10 = €0.30. Answer: €179.70.","3×59.90","false","units"
"calculateMoney","4 × €79.50","","€318","€79.50 is close to €80. Calculate 4 × €80 = €320, then subtract 4 × €0.50 = €2. Answer: €318.","4×79.50","false","units"
"calculateMoney","3 × €69.90","","€209.70","€69.90 is close to €70. Calculate 3 × €70 = €210, then subtract 3 × €0.10 = €0.30. Answer: €209.70.","3×69.90","false","units"
"calculateMoney","8 × €19.50","","€156","€19.50 is close to €20. Calculate 8 × €20 = €160, then subtract 8 × €0.50 = €4. Answer: €156.","8×19.50","false","units"
"calculateMoney","6 × €19.90","","€119.40","€19.90 is close to €20. Calculate 6 × €20 = €120, then subtract 6 × €0.10 = €0.60. Answer: €119.40.","6×19.90","false","units"
"calculateMoney","5 × €39.50","","€197.50","€39.50 is close to €40. Calculate 5 × €40 = €200, then subtract 5 × €0.50 = €2.50. Answer: €197.50.","5×39.50","false","units"
"calculateMoney","8 × €49.90","","€399.20","€49.90 is close to €50. Calculate 8 × €50 = €400, then subtract 8 × €0.10 = €0.80. Answer: €399.20.","8×49.90","false","units"
"calculateMoney","6 × €89.50","","€537","€89.50 is close to €90. Calculate 6 × €90 = €540, then subtract 6 × €0.50 = €3. Answer: €537.","6×89.50","false","units"
"calculateMoney","7 × €89.90","","€629.30","€89.90 is close to €90. Calculate 7 × €90 = €630, then subtract 7 × €0.10 = €0.70. Answer: €629.30.","7×89.90","false","units"
"calculateMoney","7 × €99.50","","€696.50","€99.50 is close to €100. Calculate 7 × €100 = €700, then subtract 7 × €0.50 = €3.50. Answer: €696.50.","7×99.50","false","units"
"calculateMoney","8 × €79.90","","€639.20","€79.90 is close to €80. Calculate 8 × €80 = €640, then subtract 8 × €0.10 = €0.80. Answer: €639.20.","8×79.90","false","units"
"calculateMoney","8 × €99.50","","€796","€99.50 is close to €100. Calculate 8 × €100 = €800, then subtract 8 × €0.50 = €4. Answer: €796.","8×99.50","false","units"
"calculateMoney","9 × €99.90","","€899.10","€99.90 is close to €100. Calculate 9 × €100 = €900, then subtract 9 × €0.10 = €0.90. Answer: €899.10.","9×99.90","false","units"
"multipulChoiceDistance","Along a road, there is a numbered post every 100 meters. The Bos family drives 250 kilometers on that road. How many posts do they pass?","{A,2000},{B,2250},{C,2500},{D,2700}","C","Convert 250 km into meters (250 × 1000 = 250,000 m), then divide by the distance between posts (100 m). Answer: C (2500).","(250×1000)/100","true","text"
"multipulChoiceMoney","Mark buys 3 packs of butter at €2.33 each in the supermarket. He pays with a €10 note. How much change does he get?","{A,€3.00},{B,€4.01},{C,€2.33},{D,€3.01}","D","Multiply the price by the quantity (3 × €2.33 = €6.99), then subtract that from €10. Answer: D (€3.01).","10-(3×2.33)","true","text"
"multipulChoiceMoney","Liesbeth buys a piece of cheese for €4.95 and 2 boxes of eggs at €1.85 each. She pays with a €20 note. How much change does she get?","{A,€11.35},{B,€12.65},{C,€12.00},{D,€1.35}","A","Add the cheese price and the total for the eggs (2 × €1.85 = €3.70), giving €8.65. Subtract that from €20. Answer: A (€11.35).","20-(4.95+(2×1.85))","true","text"
"multipulChoiceMoney","Koen is buying laminate flooring. He needs 99 m². One pack costs €40.25 and covers 2 m². Roughly how much will the flooring cost in total?","{A,€1500},{B,€4000},{C,€2000},{D,€8000}","C","Divide the area needed by the area per pack (99 ÷ 2 ≈ 50 packs), then multiply by the price per pack (50 × €40.25 ≈ €2000). Answer: C (€2000).","(99/2)×40.25","true","text"
"multipulChoiceDistance","A basketball court is 28 meters long and 15 meters wide. What is the area of the basketball court?","{A,400 m²},{B,600 m²},{C,480 m²},{D,420 m²}","D","Area = length × width, so calculate 28 × 15. Answer: D (420 m²).","28×15","true","text"
"multipulChoiceMoney","Laura is doing the shopping for her father who is cooking tonight. Roughly how much does she need to pay? (Spaghetti 500g €1.53 ×1, canned tomatoes €1.02 ×2, tomatoes on offer 500g €1.00 for 750g ×1, herbs €1.39 ×1)","{A,€6.00},{B,€6.50},{C,€4.75},{D,€5.00}","B","Add up the cost of each item: spaghetti + 2 × canned tomatoes + the tomato offer (scaled to 750 g) + herbs, then round to the nearest answer. Answer: B (€6.50).","1.53+(2×1.02)+((750/500)×1)+1.39","true","text"
"calculateInteger","Julia has a bag with 37 licorice candies. She shares the candies with 7 friends. Julia and her 7 friends all get the same number of candies. How many candies are left over?","","5 candies","Julia plus her 7 friends makes 8 people in total. Divide 37 by 8; the remainder is the answer. Answer: 5 candies.","37 mod 8","false","text"
"multipulChoiceMoney","The school party cost €3275. There were 250 children at the party. How much did the school party cost per child?","{A,€15.10},{B,€14.50},{C,€13.10},{D,€12.90}","C","Divide the total cost by the number of children (€3275 ÷ 250). Answer: C (€13.10).","3275/250","true","text"
"multipulChoiceMoney","A newspaper costs €3.97 in the shop. A yearly subscription costs €573, with the paper delivered on 300 days. How much cheaper per paper is a subscription?","{A,€1.91},{B,€2.06},{C,€1.44},{D,€0.52}","B","Calculate the shop cost for 300 papers (300 × €3.97), subtract the subscription price (€573), then divide the difference by 300. Answer: B (€2.06).","((300×3.97)-573)/300","true","text"
"multipulChoiceMoney","Hair salon 'Marcel Hair' is open Tuesday through Saturday. The average weekly revenue is €6000. Saturday is extra busy, with average revenue of €1260. What is the average revenue on a regular weekday?","{A,€1150},{B,€1190},{C,€1182},{D,€1185}","D","Subtract Saturday's revenue from the weekly total (€6000 − €1260 = €4740), then divide by the 4 remaining weekdays. Answer: D (€1185).","(6000-1260)/4","true","text"
"calculateMoney","Anna pays €6 for a bunch of grapes. The bunch weighs 800 grams. How much do the grapes cost per kilogram?","","€7.50","Convert 800 grams to kilograms (0.8 kg), then divide the price by that weight (€6 ÷ 0.8). Answer: €7.50.","6/(800/1000)","false","text"
"multipulChoiceMoney","How much cheaper is a ride with a 5-ride card than with a single ticket for the carousel? (1 ride €2.25, 5 rides €8.50)","{A,€0.50},{B,€0.75},{C,€1.00},{D,€0.55}","D","Calculate the cost of 5 single tickets (5 × €2.25 = €11.25), subtract the price of the 5-ride card (€8.50), then divide the difference by 5. Answer: D (€0.55).","((5×2.25)-8.50)/5","true","text"
"multipulChoiceMoney","Grade 8 is going on a school trip. There are 28 pupils in the class. The entrance tickets for the theme park cost €625 in total. Roughly how much does 1 ticket cost?","{A,€18},{B,€25},{C,€22.50},{D,€20}","C","Divide the total cost by the number of pupils (€625 ÷ 28), then round to the closest answer option. Answer: C (€22.50).","625/28","true","text"
"multipulChoiceDistance","Farmer Jansen's plot of land is 350 meters long and 180 meters wide. What is the area of the plot in m²?","{A,43000 m²},{B,63000 m²},{C,80000 m²},{D,72000 m²}","B","Area = length × width, so calculate 350 × 180. Answer: B (63,000 m²).","350×180","true","text"
"multipulChoiceMoney","The neighborhood party cost €750. 70 neighbors attended. Roughly how much did the party cost per person?","{A,€12},{B,€15},{C,€10},{D,€11}","D","Divide the total cost by the number of people (€750 ÷ 70), then round. Answer: D (€11).","750/70","true","text"
"multipulChoiceDistance","In a large barn there are 6 rows of 28 crates. Roughly how many crates is that?","{A,170},{B,190},{C,175},{D,185}","A","Multiply the number of rows by the number of crates per row (6 × 28), then round to the nearest answer. Answer: A (170).","6×28","true","text"
"multipulChoiceDistance","A machine fills 1200 paint cans per hour. The machine runs 7 days a week, day and night. Each day it is switched off for 1 hour of maintenance. How many cans does the machine fill in 1 week? Round to the nearest thousand.","{A,200000},{B,166000},{C,193000},{D,216000}","C","Calculate the running hours per day (24 − 1 = 23 hours), multiply by 7 days and by 1200 cans per hour, then round to the nearest thousand. Answer: C (193,000).","((24-1)×7)×1200","true","text"
"multipulChoiceDistance","Julie works at a pharmacy. She needs to put 0.5 times 7.5 dl of liquid into a measuring cup to make a medicine. How many dl is that?","{A,3.70 dl},{B,3.50 dl},{C,3.75 dl},{D,4.25 dl}","C","Multiply 0.5 × 7.5 directly (0.5 of an amount is half of it). Answer: C (3.75 dl).","0.5×7.5","true","text"
"multipulChoiceDistance","In a furniture factory, a robot drills screw holes in kitchen cabinets. It drills 3 holes per cabinet and processes 7 cabinets per minute. The robot works 8 hours in 1 day. How many holes does the robot drill in 1 day?","{A,1000},{B,10350},{C,11500},{D,10080}","D","Find the holes drilled per minute (7 cabinets × 3 holes = 21), then multiply by the total minutes worked (8 hours × 60 minutes = 480). Answer: D (10,080).","(7×3)×(8×60)","true","text"
